Genus,Species,Brain mass (g),Body mass (g)
Gorilla,gorilla,406,140000
Peromyscus,gossypinus,0.68,27.2
Peromyscus,gossypinus,0.68,28.25
Chalinolobus,gouldii,0.24,11.7
Mesembriomys,gouldii,4.59,1110
Sciurus,granatensis,5.91,400
Nycteris,grandis,0.7355,29.4
Peromyscus,grandis,1.53,77.32
Nanger,granti,143,41000
Nanger,granti,173,55000
Nanger,granti,135,40000
Nanger,granti,143,41000
Nanger,granti,137,61000
Cynomops,greenhalli,0.3,17.5
Sylvicapra,grimmia,73,11000
Sylvicapra,grimmia,69,12000
Sylvicapra,grimmia,83,12500
Sylvicapra,grimmia,84,14000
Sylvicapra,grimmia,96,15000
Sylvicapra,grimmia,57,6000
Sylvicapra,grimmia,73,11000
Sylvicapra,grimmia,67.5,11500
Sylvicapra,grimmia,87,16000
Grampus,griseus,2551,400000
Pagophilus,groenlandicus,442,107000
Pagophilus,groenlandicus,297,127500
Dicrostonyx,groenlandicus,0.8983,52.1
Dicrostonyx,groenlandicus,0.72,68.4
Peromyscus,guatemalensis,1.16,52.83
Microtus,guentheri,0.69,51.3
Colobus,guereza,83.9,10281.25
Cynomys,gunnisoni,5.16,796.3
Pteronotus,gymnonotus,0.343,13.6
Hoplomys,gymnurus,4.13,330
Hipposideros,halophyllus,0.152,4
Papio,hamadryas,142,12020
Papio,hamadryas,183,20700
Rhinopoma,hardwickei,0.275,12.9
Harpiocephalus,harpia,0.442,13.5
Ammospermophilus,harrisii,2.24,138.8
Enchisthenes,hartii,0.5105,14.2
Myotis,hasseltii,0.188,7.5
Phyllostomus,hastatus,1.53175,90
Scotophilus,heathi,0.476,31.5
Dipodomys,heermanni,1.37,60
Platyrrhinus,helleri,0.42,11.6
Eidolon,helvum,4.4325,266.75
Odocoileus,hemionus,188.3,33113
Paradoxurus,hermaphroditus,28.2,2500
Paradoxurus,hermaphroditus,23.7,3047
Paradoxurus,hermaphroditus,22.9,3100
Rhinolophus,hildebrandti,0.63,29.1
Taphozous,hildegardeae,0.5425,27.45
Aethomys,hindei,1.42,146.3
Beamys,hindei,1.11,89.75
Rhinolophus,hipposideros,0.16,4.6
Rhinolophus,hipposideros,0.31,9.7
Capra,hircus,115,27660
Capra,hircus,106,30000
Pusa,hispida,255,39680
Pusa,hispida,251,39460
Nycteris,hispida,0.284,7.8
Sigmodon,hispidus,1.14,132.5
Sigmodon,hispidus,1.18,148
Chaetodipus,hispidus,0.68,39
Choloepus,hoffmanni,26,5271
Choloepus,hoffmanni,23.07,4825
Furipterus,horrens,0.127,3.43
Cynopterus,horsfieldii,1.23,53
Myotis,horsfieldii,0.197,6.3
Iomys,horsfieldii,3.38,155.5
Cryptomys,hottentotus,1.17,98.4
Oryzorictes,hova,0.58,44.2
Sorex,hoyi,0.107,2.6
Sorex,hoyi,0.08,3.5
Tamiasciurus,hudsonicus,3.82,102.5
Tamiasciurus,hudsonicus,3.94,123
Tamiasciurus,hudsonicus,3.97,139
Tamiasciurus,hudsonicus,3.87,145
Tamiasciurus,hudsonicus,4,147
Tamiasciurus,hudsonicus,4.1,158
Tamiasciurus,hudsonicus,4.21,169
